GroupA,GroupB
19.77739794,18.82746259
18.80805192,18.4102179
19.22800547,22.23529822
19.25376245,17.70607728
18.68776742,21.31158548
23.51159829,19.2447205
25.11782382,19.34142434
18.05585084,19.07858467
18.76742587,19.22486234
23.20390187,25.38202171
20.29951934,19.42990126
19.03646111,21.68513819
10.84027496,14.70956291
21.707478,20.02092402
18.94203919,20.07846533
21.1023917,21.40380257
22.57851286,20.89758681
20.75117471,24.76976895
24.75357407,25.07617664
22.98388736,22.61930855
23.3963679,24.45167881
20.98224012,20.6376746
21.64217216,21.09736638
26.32578935,22.77908062
31.02330563,25.80294231
26.11795861,29.96898561
32.00549824,29.62763464
19.07927577,27.79953445
19.51994747,21.60936378
19.66175536,20.93359531
23.63067818,24.36785403
19.35793709,22.00950773
27.73736261,19.47050707
20.28477746,22.77971603
28.74390513,28.13815849
22.52560035,26.34493369
24.43017097,26.08827151
29.41411061,26.34112253
22.00256683,31.42115516
24.31665867,20.8101378
28.16030323,23.02633258
28.28965345,21.92364451
21.14470039,22.13834162
34.59652215,25.15522904
22.16580605,24.72812516
23.15778534,38.48556273
20.33801086,25.91117052
25.74921537,22.39825843
20.4225258,21.25795017
